product_id,variant_id,product_title,product_created_at,product_status,product_type,variant_title,sku,barcode,price,compare_at_price,cost,inventory_quantity,sold_7d,sold_30d,sold_60d
gid://shopify/Product/7872977797185,gid://shopify/ProductVariant/43743852331073,2026 Panini USA Stars & Stripes Baseball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134196133,124.99,,91.5,6,0,0,0
gid://shopify/Product/7873002831937,gid://shopify/ProductVariant/43744016564289,2026 Panini USA Stars & Stripes Baseball Hobby Pack,,ACTIVE,Sealed Wax,Default Title,,53455360,10.49,,7.63,3,0,0,0
gid://shopify/Product/7875903389761,gid://shopify/ProductVariant/43752890564673,2025 Panini Photogenic Football Hobby Box,,ACTIVE,Sealed Wax,Default Title,,746134189456,274.99,,220,0,0,0,0
gid://shopify/Product/7878079447105,gid://shopify/ProductVariant/43760186294337,2025 Topps MLS Chrome Sapphire Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521148479,399.99,,370,2,0,0,0
gid://shopify/Product/7879871561793,gid://shopify/ProductVariant/43765056405569,Rawlings Official MLB Game Baseball,,ACTIVE,Sealed Wax,Default Title,,30833550,19.99,,,0,0,0,0
gid://shopify/Product/7881631236161,gid://shopify/ProductVariant/43772826517569,2025 Topps Chrome Football Hobby Blaster,,ACTIVE,Sealed Wax,Default Title,,887521156788,49.99,,37.5,0,0,0,0
gid://shopify/Product/7882165747777,gid://shopify/ProductVariant/43773668589633,2025-26 Topps Three Basketball Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521153039,1499.99,,1300,1,0,0,0
gid://shopify/Product/7883143413825,gid://shopify/ProductVariant/43776851083329,2025 Topps Chrome Football Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521156658,769.99,,740,3,0,0,0
gid://shopify/Product/7883147116609,gid://shopify/ProductVariant/43776860913729,2025 Topps Chrome Football Hobby Jumbo Box,,ACTIVE,Sealed Wax,Default Title,,887521156702,1699.99,,2499.99,1,0,0,0
gid://shopify/Product/7883904155713,gid://shopify/ProductVariant/43778698707009,2026 Topps Disney Neon Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521154128,199.99,,100,0,0,0,0
gid://shopify/Product/7884999163969,gid://shopify/ProductVariant/43783411040321,Pokemon Rebel Clash Booster Pack,,ACTIVE,Booster Box,Default Title,,820650806810,16.99,,13.75,0,0,0,0
gid://shopify/Product/7887597666369,gid://shopify/ProductVariant/43789587284033,2026 Topps Finest Fantastic Four Hobby Box,,ACTIVE,Sealed Wax,Default Title,,887521154258,274.99,,229,2,0,0,0
